Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Ejercicio físico;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Sentado/a la mayor parte del día;36,08
Ambos sexos;Total;;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,45
Ambos sexos;Total;;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,11
Ambos sexos;Total;;Realizando tareas que requieren gran esfuerzo físico;4,50
Ambos sexos;Total;;No aplicable;0,85
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Sentado/a la mayor parte del día;32,58
Ambos sexos;Total;Andalucía;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;44,43
Ambos sexos;Total;Andalucía;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;16,20
Ambos sexos;Total;Andalucía;Realizando tareas que requieren gran esfuerzo físico;6,23
Ambos sexos;Total;Andalucía;No aplicable;0,57
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Sentado/a la mayor parte del día;36,74
Ambos sexos;Total;Aragón;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,42
Ambos sexos;Total;Aragón;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,16
Ambos sexos;Total;Aragón;Realizando tareas que requieren gran esfuerzo físico;4,18
Ambos sexos;Total;Aragón;No aplicable;0,50
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Sentado/a la mayor parte del día;34,71
Ambos sexos;Total;Asturias (Principado de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;46,29
Ambos sexos;Total;Asturias (Principado de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;16,53
Ambos sexos;Total;Asturias (Principado de);Realizando tareas que requieren gran esfuerzo físico;2,47
Ambos sexos;Total;Asturias (Principado de);No aplicable;0,00
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Sentado/a la mayor parte del día;32,87
Ambos sexos;Total;Balears (Illes);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;42,12
Ambos sexos;Total;Balears (Illes);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,36
Ambos sexos;Total;Balears (Illes);Realizando tareas que requieren gran esfuerzo físico;5,14
Ambos sexos;Total;Balears (Illes);No aplicable;1,51
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Sentado/a la mayor parte del día;32,35
Ambos sexos;Total;Canarias;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;46,47
Ambos sexos;Total;Canarias;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,37
Ambos sexos;Total;Canarias;Realizando tareas que requieren gran esfuerzo físico;2,81
Ambos sexos;Total;Canarias;No aplicable;0,00
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Sentado/a la mayor parte del día;26,77
Ambos sexos;Total;Cantabria;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;55,13
Ambos sexos;Total;Cantabria;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;15,66
Ambos sexos;Total;Cantabria;Realizando tareas que requieren gran esfuerzo físico;2,16
Ambos sexos;Total;Cantabria;No aplicable;0,28
Ambos sexos;Total;Castilla y León;TOTAL;100,00
