Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo bebidas alcohólicas;Total
Ambos sexos;Total;;Total;100,00
Ambos sexos;Total;;Sí ha consumido;64,64
Ambos sexos;Total;;No ha consumido;35,36
Ambos sexos;Total;Andalucía;Total;100,00
Ambos sexos;Total;Andalucía;Sí ha consumido;59,54
Ambos sexos;Total;Andalucía;No ha consumido;40,46
Ambos sexos;Total;Aragón;Total;100,00
Ambos sexos;Total;Aragón;Sí ha consumido;59,20
Ambos sexos;Total;Aragón;No ha consumido;40,80
Ambos sexos;Total;Asturias (Principado de);Total;100,00
Ambos sexos;Total;Asturias (Principado de);Sí ha consumido;65,70
Ambos sexos;Total;Asturias (Principado de);No ha consumido;34,30
Ambos sexos;Total;Balears (Illes);Total;100,00
Ambos sexos;Total;Balears (Illes);Sí ha consumido;63,83
Ambos sexos;Total;Balears (Illes);No ha consumido;36,17
Ambos sexos;Total;Canarias;Total;100,00
Ambos sexos;Total;Canarias;Sí ha consumido;59,78
Ambos sexos;Total;Canarias;No ha consumido;40,22
Ambos sexos;Total;Cantabria;Total;100,00
Ambos sexos;Total;Cantabria;Sí ha consumido;56,59
Ambos sexos;Total;Cantabria;No ha consumido;43,41
Ambos sexos;Total;Castilla y León;Total;100,00
Ambos sexos;Total;Castilla y León;Sí ha consumido;56,92
Ambos sexos;Total;Castilla y León;No ha consumido;43,08
Ambos sexos;Total;Castilla-La Mancha;Total;100,00
Ambos sexos;Total;Castilla-La Mancha;Sí ha consumido;61,26
Ambos sexos;Total;Castilla-La Mancha;No ha consumido;38,74
Ambos sexos;Total;Cataluña;Total;100,00
Ambos sexos;Total;Cataluña;Sí ha consumido;70,08
Ambos sexos;Total;Cataluña;No ha consumido;29,92
Ambos sexos;Total;Comunitat Valenciana;Total;100,00
Ambos sexos;Total;Comunitat Valenciana;Sí ha consumido;68,69
Ambos sexos;Total;Comunitat Valenciana;No ha consumido;31,31
Ambos sexos;Total;Extremadura;Total;100,00
Ambos sexos;Total;Extremadura;Sí ha consumido;64,55
Ambos sexos;Total;Extremadura;No ha consumido;35,45
Ambos sexos;Total;Galicia;Total;100,00
Ambos sexos;Total;Galicia;Sí ha consumido;61,16
Ambos sexos;Total;Galicia;No ha consumido;38,84
Ambos sexos;Total;Madrid (Comunidad de);Total;100,00
Ambos sexos;Total;Madrid (Comunidad de);Sí ha consumido;70,89
Ambos sexos;Total;Madrid (Comunidad de);No ha consumido;29,11
Ambos sexos;Total;Murcia (Región de);Total;100,00
Ambos sexos;Total;Murcia (Región de);Sí ha consumido;64,24
Ambos sexos;Total;Murcia (Región de);No ha consumido;35,76
Ambos sexos;Total;Navarra (Comunidad Foral de);Total;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Sí ha consumido;66,54
Ambos sexos;Total;Navarra (Comunidad Foral de);No ha consumido;33,46
Ambos sexos;Total;País Vasco;Total;100,00
Ambos sexos;Total;País Vasco;Sí ha consumido;66,54
Ambos sexos;Total;País Vasco;No ha consumido;33,46
Ambos sexos;Total;Rioja (La);Total;100,00
Ambos sexos;Total;Rioja (La);Sí ha consumido;66,32
Ambos sexos;Total;Rioja (La);No ha consumido;33,68
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;33,57
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);No ha consumido;66,43
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;45,14
Ambos sexos;Total;Melilla (Ciudad Autónoma de);No ha consumido;54,86
Hombres;Total;;Total;100,00
Hombres;Total;;Sí ha consumido;76,87
Hombres;Total;;No ha consumido;23,13
Hombres;Total;Andalucía;Total;100,00
Hombres;Total;Andalucía;Sí ha consumido;71,82
Hombres;Total;Andalucía;No ha consumido;28,18
Hombres;Total;Aragón;Total;100,00
Hombres;Total;Aragón;Sí ha consumido;68,59
Hombres;Total;Aragón;No ha consumido;31,41
Hombres;Total;Asturias (Principado de);Total;100,00
Hombres;Total;Asturias (Principado de);Sí ha consumido;79,44
Hombres;Total;Asturias (Principado de);No ha consumido;20,56
Hombres;Total;Balears (Illes);Total;100,00
Hombres;Total;Balears (Illes);Sí ha consumido;75,86
Hombres;Total;Balears (Illes);No ha consumido;24,14
Hombres;Total;Canarias;Total;100,00
Hombres;Total;Canarias;Sí ha consumido;72,78
Hombres;Total;Canarias;No ha consumido;27,22
Hombres;Total;Cantabria;Total;100,00
Hombres;Total;Cantabria;Sí ha consumido;75,79
Hombres;Total;Cantabria;No ha consumido;24,21
Hombres;Total;Castilla y León;Total;100,00
Hombres;Total;Castilla y León;Sí ha consumido;75,42
Hombres;Total;Castilla y León;No ha consumido;24,58
Hombres;Total;Castilla-La Mancha;Total;100,00
Hombres;Total;Castilla-La Mancha;Sí ha consumido;76,49
Hombres;Total;Castilla-La Mancha;No ha consumido;23,51
Hombres;Total;Cataluña;Total;100,00
Hombres;Total;Cataluña;Sí ha consumido;79,97
Hombres;Total;Cataluña;No ha consumido;20,03
Hombres;Total;Comunitat Valenciana;Total;100,00
