Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de bebidas alcohólicas;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Sí ha consumido;67,32
Ambos sexos;Total;;No ha consumido;32,68
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Sí ha consumido;64,07
Ambos sexos;Total;Andalucía;No ha consumido;35,93
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Sí ha consumido;73,37
Ambos sexos;Total;Aragón;No ha consumido;26,63
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Sí ha consumido;72,68
Ambos sexos;Total;Asturias (Principado de);No ha consumido;27,32
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Sí ha consumido;71,56
Ambos sexos;Total;Balears (Illes);No ha consumido;28,44
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Sí ha consumido;59,16
Ambos sexos;Total;Canarias;No ha consumido;40,84
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Sí ha consumido;76,96
Ambos sexos;Total;Cantabria;No ha consumido;23,04
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Sí ha consumido;64,05
Ambos sexos;Total;Castilla y León;No ha consumido;35,95
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Sí ha consumido;62,62
Ambos sexos;Total;Castilla-La Mancha;No ha consumido;37,38
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Sí ha consumido;71,13
Ambos sexos;Total;Cataluña;No ha consumido;28,87
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Sí ha consumido;71,62
Ambos sexos;Total;Comunitat Valenciana;No ha consumido;28,38
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Sí ha consumido;64,34
Ambos sexos;Total;Extremadura;No ha consumido;35,66
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Sí ha consumido;68,65
Ambos sexos;Total;Galicia;No ha consumido;31,35
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Sí ha consumido;63,32
Ambos sexos;Total;Madrid (Comunidad de);No ha consumido;36,68
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Sí ha consumido;67,24
Ambos sexos;Total;Murcia (Región de);No ha consumido;32,76
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Sí ha consumido;66,46
Ambos sexos;Total;Navarra (Comunidad Foral de);No ha consumido;33,54
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Sí ha consumido;76,61
Ambos sexos;Total;País Vasco;No ha consumido;23,39
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Sí ha consumido;60,59
Ambos sexos;Total;Rioja (La);No ha consumido;39,41
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;38,70
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);No ha consumido;61,30
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;38,92
Ambos sexos;Total;Melilla (Ciudad Autónoma de);No ha consumido;61,08
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Sí ha consumido;77,46
Hombres;Total;;No ha consumido;22,54
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Sí ha consumido;77,36
Hombres;Total;Andalucía;No ha consumido;22,64
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Sí ha consumido;81,38
Hombres;Total;Aragón;No ha consumido;18,62
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Sí ha consumido;84,26
Hombres;Total;Asturias (Principado de);No ha consumido;15,74
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Sí ha consumido;77,44
Hombres;Total;Balears (Illes);No ha consumido;22,56
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Sí ha consumido;69,39
Hombres;Total;Canarias;No ha consumido;30,61
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Sí ha consumido;86,42
Hombres;Total;Cantabria;No ha consumido;13,58
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Sí ha consumido;77,18
Hombres;Total;Castilla y León;No ha consumido;22,82
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Sí ha consumido;74,75
Hombres;Total;Castilla-La Mancha;No ha consumido;25,25
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Sí ha consumido;79,21
Hombres;Total;Cataluña;No ha consumido;20,79
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Sí ha consumido;80,33
Hombres;Total;Comunitat Valenciana;No ha consumido;19,67
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Sí ha consumido;79,68
Hombres;Total;Extremadura;No ha consumido;20,32
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Sí ha consumido;78,42
Hombres;Total;Galicia;No ha consumido;21,58
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Sí ha consumido;73,01
Hombres;Total;Madrid (Comunidad de);No ha consumido;26,99
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Sí ha consumido;72,92
Hombres;Total;Murcia (Región de);No ha consumido;27,08
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Sí ha consumido;78,43
Hombres;Total;Navarra (Comunidad Foral de);No ha consumido;21,57
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Sí ha consumido;84,18
Hombres;Total;País Vasco;No ha consumido;15,82
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Sí ha consumido;71,72
Hombres;Total;Rioja (La);No ha consumido;28,28
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;46,27
Hombres;Total;Ceuta (Ciudad Autónoma de);No ha consumido;53,73
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;47,56
Hombres;Total;Melilla (Ciudad Autónoma de);No ha consumido;52,44
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Sí ha consumido;57,66
Mujeres;Total;;No ha consumido;42,34
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Sí ha consumido;51,29
Mujeres;Total;Andalucía;No ha consumido;48,71
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Sí ha consumido;65,57
Mujeres;Total;Aragón;No ha consumido;34,43
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Sí ha consumido;62,19
Mujeres;Total;Asturias (Principado de);No ha consumido;37,81
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Sí ha consumido;65,78
Mujeres;Total;Balears (Illes);No ha consumido;34,22
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Sí ha consumido;49,35
