Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cagarrillos;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Entre 01 y 09 cigarrillos;37,21
Ambos sexos;Total;;Entre 10 y 19 cigarrillos;38,05
Ambos sexos;Total;;20 o más cigarrillos;24,74
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Entre 01 y 09 cigarrillos;33,85
Ambos sexos;Total;Andalucía;Entre 10 y 19 cigarrillos;39,69
Ambos sexos;Total;Andalucía;20 o más cigarrillos;26,46
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Entre 01 y 09 cigarrillos;32,21
Ambos sexos;Total;Aragón;Entre 10 y 19 cigarrillos;36,57
Ambos sexos;Total;Aragón;20 o más cigarrillos;31,21
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;34,21
Ambos sexos;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;38,99
Ambos sexos;Total;Asturias (Principado de);20 o más cigarrillos;26,80
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Entre 01 y 09 cigarrillos;31,70
Ambos sexos;Total;Balears (Illes);Entre 10 y 19 cigarrillos;44,05
Ambos sexos;Total;Balears (Illes);20 o más cigarrillos;24,25
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Entre 01 y 09 cigarrillos;33,27
Ambos sexos;Total;Canarias;Entre 10 y 19 cigarrillos;37,17
Ambos sexos;Total;Canarias;20 o más cigarrillos;29,56
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Entre 01 y 09 cigarrillos;35,06
Ambos sexos;Total;Cantabria;Entre 10 y 19 cigarrillos;38,65
Ambos sexos;Total;Cantabria;20 o más cigarrillos;26,28
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Entre 01 y 09 cigarrillos;39,50
Ambos sexos;Total;Castilla y León;Entre 10 y 19 cigarrillos;34,53
Ambos sexos;Total;Castilla y León;20 o más cigarrillos;25,97
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;36,18
Ambos sexos;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;42,33
Ambos sexos;Total;Castilla-La Mancha;20 o más cigarrillos;21,49
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Entre 01 y 09 cigarrillos;43,95
Ambos sexos;Total;Cataluña;Entre 10 y 19 cigarrillos;33,13
Ambos sexos;Total;Cataluña;20 o más cigarrillos;22,93
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;42,95
Ambos sexos;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;34,74
Ambos sexos;Total;Comunitat Valenciana;20 o más cigarrillos;22,31
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Entre 01 y 09 cigarrillos;25,69
Ambos sexos;Total;Extremadura;Entre 10 y 19 cigarrillos;36,44
Ambos sexos;Total;Extremadura;20 o más cigarrillos;37,87
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Entre 01 y 09 cigarrillos;29,28
Ambos sexos;Total;Galicia;Entre 10 y 19 cigarrillos;41,50
Ambos sexos;Total;Galicia;20 o más cigarrillos;29,22
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Entre 01 y 09 cigarrillos;35,61
Ambos sexos;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;44,15
Ambos sexos;Total;Madrid (Comunidad de);20 o más cigarrillos;20,23
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;38,54
Ambos sexos;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;30,83
Ambos sexos;Total;Murcia (Región de);20 o más cigarrillos;30,62
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;36,47
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;44,07
Ambos sexos;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;19,46
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Entre 01 y 09 cigarrillos;43,58
Ambos sexos;Total;País Vasco;Entre 10 y 19 cigarrillos;39,30
Ambos sexos;Total;País Vasco;20 o más cigarrillos;17,12
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Entre 01 y 09 cigarrillos;48,48
Ambos sexos;Total;Rioja (La);Entre 10 y 19 cigarrillos;32,47
Ambos sexos;Total;Rioja (La);20 o más cigarrillos;19,06
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;25,38
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;48,53
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;26,09
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;43,74
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;35,64
Ambos sexos;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;20,63
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Entre 01 y 09 cigarrillos;34,94
Hombres;Total;;Entre 10 y 19 cigarrillos;37,38
Hombres;Total;;20 o más cigarrillos;27,69
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Entre 01 y 09 cigarrillos;34,34
Hombres;Total;Andalucía;Entre 10 y 19 cigarrillos;36,56
Hombres;Total;Andalucía;20 o más cigarrillos;29,11
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Entre 01 y 09 cigarrillos;24,63
Hombres;Total;Aragón;Entre 10 y 19 cigarrillos;39,69
Hombres;Total;Aragón;20 o más cigarrillos;35,68
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;31,18
Hombres;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;37,61
Hombres;Total;Asturias (Principado de);20 o más cigarrillos;31,22
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Entre 01 y 09 cigarrillos;27,82
Hombres;Total;Balears (Illes);Entre 10 y 19 cigarrillos;49,38
Hombres;Total;Balears (Illes);20 o más cigarrillos;22,80
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Entre 01 y 09 cigarrillos;35,64
Hombres;Total;Canarias;Entre 10 y 19 cigarrillos;29,30
Hombres;Total;Canarias;20 o más cigarrillos;35,05
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Entre 01 y 09 cigarrillos;30,65
Hombres;Total;Cantabria;Entre 10 y 19 cigarrillos;43,33
Hombres;Total;Cantabria;20 o más cigarrillos;26,01
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Entre 01 y 09 cigarrillos;35,95
Hombres;Total;Castilla y León;Entre 10 y 19 cigarrillos;34,36
Hombres;Total;Castilla y León;20 o más cigarrillos;29,68
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;34,57
Hombres;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;41,47
Hombres;Total;Castilla-La Mancha;20 o más cigarrillos;23,96
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Entre 01 y 09 cigarrillos;45,14
Hombres;Total;Cataluña;Entre 10 y 19 cigarrillos;30,85
Hombres;Total;Cataluña;20 o más cigarrillos;24,00
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;40,68
Hombres;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;36,12
Hombres;Total;Comunitat Valenciana;20 o más cigarrillos;23,20
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Entre 01 y 09 cigarrillos;19,60
Hombres;Total;Extremadura;Entre 10 y 19 cigarrillos;37,49
Hombres;Total;Extremadura;20 o más cigarrillos;42,91
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Entre 01 y 09 cigarrillos;26,12
