Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Ninguno;50,72
Ambos sexos;Total;;1 o 2 días a la semana;13,21
Ambos sexos;Total;;3 o 4 días a la semana;18,14
Ambos sexos;Total;;5 o 6 días a la semana;10,25
Ambos sexos;Total;;7 días a la semana;7,68
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Ninguno;52,22
Ambos sexos;Total;Andalucía;1 o 2 días a la semana;11,68
Ambos sexos;Total;Andalucía;3 o 4 días a la semana;18,65
Ambos sexos;Total;Andalucía;5 o 6 días a la semana;10,68
Ambos sexos;Total;Andalucía;7 días a la semana;6,76
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Ninguno;53,46
Ambos sexos;Total;Aragón;1 o 2 días a la semana;12,98
Ambos sexos;Total;Aragón;3 o 4 días a la semana;16,19
Ambos sexos;Total;Aragón;5 o 6 días a la semana;9,18
Ambos sexos;Total;Aragón;7 días a la semana;8,19
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Ninguno;33,99
Ambos sexos;Total;Asturias (Principado de);1 o 2 días a la semana;18,08
Ambos sexos;Total;Asturias (Principado de);3 o 4 días a la semana;22,53
Ambos sexos;Total;Asturias (Principado de);5 o 6 días a la semana;20,11
Ambos sexos;Total;Asturias (Principado de);7 días a la semana;5,29
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Ninguno;47,26
Ambos sexos;Total;Balears (Illes);1 o 2 días a la semana;9,87
Ambos sexos;Total;Balears (Illes);3 o 4 días a la semana;16,80
Ambos sexos;Total;Balears (Illes);5 o 6 días a la semana;9,90
Ambos sexos;Total;Balears (Illes);7 días a la semana;16,17
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Ninguno;51,46
Ambos sexos;Total;Canarias;1 o 2 días a la semana;9,21
