Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Estado de salud;Total
Ambos sexos;Total;;Total;100,00
Ambos sexos;Total;;Muy bueno;25,75
Ambos sexos;Total;;Bueno;49,76
Ambos sexos;Total;;Regular;17,45
Ambos sexos;Total;;Malo;5,53
Ambos sexos;Total;;Muy malo;1,51
Ambos sexos;Total;Andalucía;Total;100,00
Ambos sexos;Total;Andalucía;Muy bueno;33,61
Ambos sexos;Total;Andalucía;Bueno;44,66
Ambos sexos;Total;Andalucía;Regular;14,74
Ambos sexos;Total;Andalucía;Malo;5,20
Ambos sexos;Total;Andalucía;Muy malo;1,79
Ambos sexos;Total;Aragón;Total;100,00
Ambos sexos;Total;Aragón;Muy bueno;34,40
Ambos sexos;Total;Aragón;Bueno;42,38
Ambos sexos;Total;Aragón;Regular;17,64
Ambos sexos;Total;Aragón;Malo;4,78
Ambos sexos;Total;Aragón;Muy malo;0,80
Ambos sexos;Total;Asturias (Principado de);Total;100,00
Ambos sexos;Total;Asturias (Principado de);Muy bueno;11,28
Ambos sexos;Total;Asturias (Principado de);Bueno;56,77
Ambos sexos;Total;Asturias (Principado de);Regular;24,46
Ambos sexos;Total;Asturias (Principado de);Malo;6,12
Ambos sexos;Total;Asturias (Principado de);Muy malo;1,37
Ambos sexos;Total;Balears (Illes);Total;100,00
Ambos sexos;Total;Balears (Illes);Muy bueno;25,69
Ambos sexos;Total;Balears (Illes);Bueno;57,23
Ambos sexos;Total;Balears (Illes);Regular;12,61
Ambos sexos;Total;Balears (Illes);Malo;4,24
Ambos sexos;Total;Balears (Illes);Muy malo;0,23
Ambos sexos;Total;Canarias;Total;100,00
Ambos sexos;Total;Canarias;Muy bueno;20,33
Ambos sexos;Total;Canarias;Bueno;44,30
Ambos sexos;Total;Canarias;Regular;25,02
Ambos sexos;Total;Canarias;Malo;8,73
Ambos sexos;Total;Canarias;Muy malo;1,62
Ambos sexos;Total;Cantabria;Total;100,00
Ambos sexos;Total;Cantabria;Muy bueno;44,05
Ambos sexos;Total;Cantabria;Bueno;32,45
Ambos sexos;Total;Cantabria;Regular;15,79
Ambos sexos;Total;Cantabria;Malo;5,20
Ambos sexos;Total;Cantabria;Muy malo;2,51
Ambos sexos;Total;Castilla y León;Total;100,00
Ambos sexos;Total;Castilla y León;Muy bueno;18,06
Ambos sexos;Total;Castilla y León;Bueno;48,36
Ambos sexos;Total;Castilla y León;Regular;22,96
Ambos sexos;Total;Castilla y León;Malo;9,13
Ambos sexos;Total;Castilla y León;Muy malo;1,49
Ambos sexos;Total;Castilla-La Mancha;Total;100,00
Ambos sexos;Total;Castilla-La Mancha;Muy bueno;23,83
Ambos sexos;Total;Castilla-La Mancha;Bueno;50,99
Ambos sexos;Total;Castilla-La Mancha;Regular;18,28
Ambos sexos;Total;Castilla-La Mancha;Malo;5,71
Ambos sexos;Total;Castilla-La Mancha;Muy malo;1,19
Ambos sexos;Total;Cataluña;Total;100,00
Ambos sexos;Total;Cataluña;Muy bueno;27,68
Ambos sexos;Total;Cataluña;Bueno;50,96
Ambos sexos;Total;Cataluña;Regular;16,48
Ambos sexos;Total;Cataluña;Malo;4,18
Ambos sexos;Total;Cataluña;Muy malo;0,70
Ambos sexos;Total;Comunitat Valenciana;Total;100,00
Ambos sexos;Total;Comunitat Valenciana;Muy bueno;25,08
Ambos sexos;Total;Comunitat Valenciana;Bueno;50,65
Ambos sexos;Total;Comunitat Valenciana;Regular;14,87
Ambos sexos;Total;Comunitat Valenciana;Malo;6,56
Ambos sexos;Total;Comunitat Valenciana;Muy malo;2,83
Ambos sexos;Total;Extremadura;Total;100,00
Ambos sexos;Total;Extremadura;Muy bueno;30,37
Ambos sexos;Total;Extremadura;Bueno;49,12
