Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Masa corporal adultos;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Peso insuficiente (IMC<18,5 kg/m2);2,08
Ambos sexos;Total;;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);44,28
Ambos sexos;Total;;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);37,63
Ambos sexos;Total;;Obesidad (IMC>=30 kg/m2);16,01
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Peso insuficiente (IMC<18,5 kg/m2);2,06
Ambos sexos;Total;Andalucía;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);39,70
Ambos sexos;Total;Andalucía;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);38,57
Ambos sexos;Total;Andalucía;Obesidad (IMC>=30 kg/m2);19,67
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Peso insuficiente (IMC<18,5 kg/m2);1,98
Ambos sexos;Total;Aragón;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);48,15
Ambos sexos;Total;Aragón;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);34,12
Ambos sexos;Total;Aragón;Obesidad (IMC>=30 kg/m2);15,75
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Peso insuficiente (IMC<18,5 kg/m2);1,75
Ambos sexos;Total;Asturias (Principado de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,04
Ambos sexos;Total;Asturias (Principado de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);34,09
Ambos sexos;Total;Asturias (Principado de);Obesidad (IMC>=30 kg/m2);19,12
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Peso insuficiente (IMC<18,5 kg/m2);2,99
Ambos sexos;Total;Balears (Illes);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);44,64
Ambos sexos;Total;Balears (Illes);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);36,02
Ambos sexos;Total;Balears (Illes);Obesidad (IMC>=30 kg/m2);16,35
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Peso insuficiente (IMC<18,5 kg/m2);2,84
Ambos sexos;Total;Canarias;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);39,79
Ambos sexos;Total;Canarias;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);39,87
Ambos sexos;Total;Canarias;Obesidad (IMC>=30 kg/m2);17,50
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Peso insuficiente (IMC<18,5 kg/m2);2,01
Ambos sexos;Total;Cantabria;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,25
