Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cagarrillos;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Entre 01 y 09 cigarrillos;32,28
Ambos sexos;Total;;Entre 10 y 19 cigarrillos;36,98
Ambos sexos;Total;;20 o más cigarrillos;30,73
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Entre 01 y 09 cigarrillos;30,00
Ambos sexos;Total;Andalucía;Entre 10 y 19 cigarrillos;34,94
Ambos sexos;Total;Andalucía;20 o más cigarrillos;35,06
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Entre 01 y 09 cigarrillos;37,91
Ambos sexos;Total;Aragón;Entre 10 y 19 cigarrillos;33,09
Ambos sexos;Total;Aragón;20 o más cigarrillos;28,99
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;23,39
Ambos sexos;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;40,36
Ambos sexos;Total;Asturias (Principado de);20 o más cigarrillos;36,24
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Entre 01 y 09 cigarrillos;34,56
Ambos sexos;Total;Balears (Illes);Entre 10 y 19 cigarrillos;38,70
Ambos sexos;Total;Balears (Illes);20 o más cigarrillos;26,74
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Entre 01 y 09 cigarrillos;26,07
Ambos sexos;Total;Canarias;Entre 10 y 19 cigarrillos;36,20
Ambos sexos;Total;Canarias;20 o más cigarrillos;37,72
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Entre 01 y 09 cigarrillos;35,07
Ambos sexos;Total;Cantabria;Entre 10 y 19 cigarrillos;36,77
Ambos sexos;Total;Cantabria;20 o más cigarrillos;28,17
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Entre 01 y 09 cigarrillos;36,46
Ambos sexos;Total;Castilla y León;Entre 10 y 19 cigarrillos;37,14
Ambos sexos;Total;Castilla y León;20 o más cigarrillos;26,39
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;29,89
Ambos sexos;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;43,77
Ambos sexos;Total;Castilla-La Mancha;20 o más cigarrillos;26,34
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Entre 01 y 09 cigarrillos;35,31
Ambos sexos;Total;Cataluña;Entre 10 y 19 cigarrillos;35,22
Ambos sexos;Total;Cataluña;20 o más cigarrillos;29,47
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;27,42
Ambos sexos;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;42,51
Ambos sexos;Total;Comunitat Valenciana;20 o más cigarrillos;30,06
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Entre 01 y 09 cigarrillos;34,21
Ambos sexos;Total;Extremadura;Entre 10 y 19 cigarrillos;33,60
Ambos sexos;Total;Extremadura;20 o más cigarrillos;32,19
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Entre 01 y 09 cigarrillos;32,79
Ambos sexos;Total;Galicia;Entre 10 y 19 cigarrillos;35,55
Ambos sexos;Total;Galicia;20 o más cigarrillos;31,66
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
