Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de tabaco;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Fumador diario;19,78
Ambos sexos;Total;;Fumador ocasional;2,33
Ambos sexos;Total;;Ex fumador;22,01
Ambos sexos;Total;;Nunca ha fumado;55,88
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Fumador diario;20,93
Ambos sexos;Total;Andalucía;Fumador ocasional;2,81
Ambos sexos;Total;Andalucía;Ex fumador;16,87
Ambos sexos;Total;Andalucía;Nunca ha fumado;59,39
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Fumador diario;17,76
Ambos sexos;Total;Aragón;Fumador ocasional;3,14
Ambos sexos;Total;Aragón;Ex fumador;18,48
Ambos sexos;Total;Aragón;Nunca ha fumado;60,62
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Fumador diario;19,24
Ambos sexos;Total;Asturias (Principado de);Fumador ocasional;1,93
Ambos sexos;Total;Asturias (Principado de);Ex fumador;31,30
Ambos sexos;Total;Asturias (Principado de);Nunca ha fumado;47,54
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Fumador diario;20,54
Ambos sexos;Total;Balears (Illes);Fumador ocasional;3,11
Ambos sexos;Total;Balears (Illes);Ex fumador;23,89
Ambos sexos;Total;Balears (Illes);Nunca ha fumado;52,45
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Fumador diario;20,69
Ambos sexos;Total;Canarias;Fumador ocasional;1,27
Ambos sexos;Total;Canarias;Ex fumador;18,29
Ambos sexos;Total;Canarias;Nunca ha fumado;59,76
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Fumador diario;18,88
Ambos sexos;Total;Cantabria;Fumador ocasional;0,87
Ambos sexos;Total;Cantabria;Ex fumador;22,68
Ambos sexos;Total;Cantabria;Nunca ha fumado;57,56
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Fumador diario;18,98
Ambos sexos;Total;Castilla y León;Fumador ocasional;2,08
Ambos sexos;Total;Castilla y León;Ex fumador;23,01
Ambos sexos;Total;Castilla y León;Nunca ha fumado;55,94
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Fumador diario;20,60
Ambos sexos;Total;Castilla-La Mancha;Fumador ocasional;1,86
Ambos sexos;Total;Castilla-La Mancha;Ex fumador;19,94
Ambos sexos;Total;Castilla-La Mancha;Nunca ha fumado;57,60
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Fumador diario;20,91
Ambos sexos;Total;Cataluña;Fumador ocasional;2,80
Ambos sexos;Total;Cataluña;Ex fumador;22,35
Ambos sexos;Total;Cataluña;Nunca ha fumado;53,94
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Fumador diario;19,88
Ambos sexos;Total;Comunitat Valenciana;Fumador ocasional;2,14
Ambos sexos;Total;Comunitat Valenciana;Ex fumador;26,03
Ambos sexos;Total;Comunitat Valenciana;Nunca ha fumado;51,96
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Fumador diario;25,32
Ambos sexos;Total;Extremadura;Fumador ocasional;2,05
Ambos sexos;Total;Extremadura;Ex fumador;24,18
Ambos sexos;Total;Extremadura;Nunca ha fumado;48,45
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Fumador diario;17,71
Ambos sexos;Total;Galicia;Fumador ocasional;2,34
Ambos sexos;Total;Galicia;Ex fumador;16,71
Ambos sexos;Total;Galicia;Nunca ha fumado;63,25
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Fumador diario;17,74
Ambos sexos;Total;Madrid (Comunidad de);Fumador ocasional;1,75
Ambos sexos;Total;Madrid (Comunidad de);Ex fumador;24,76
Ambos sexos;Total;Madrid (Comunidad de);Nunca ha fumado;55,75
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Fumador diario;23,65
Ambos sexos;Total;Murcia (Región de);Fumador ocasional;2,98
Ambos sexos;Total;Murcia (Región de);Ex fumador;23,18
Ambos sexos;Total;Murcia (Región de);Nunca ha fumado;50,19
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Fumador diario;18,17
Ambos sexos;Total;Navarra (Comunidad Foral de);Fumador ocasional;3,94
Ambos sexos;Total;Navarra (Comunidad Foral de);Ex fumador;26,67
Ambos sexos;Total;Navarra (Comunidad Foral de);Nunca ha fumado;51,22
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Fumador diario;16,09
Ambos sexos;Total;País Vasco;Fumador ocasional;1,66
Ambos sexos;Total;País Vasco;Ex fumador;27,51
Ambos sexos;Total;País Vasco;Nunca ha fumado;54,74
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Fumador diario;18,74
Ambos sexos;Total;Rioja (La);Fumador ocasional;3,92
Ambos sexos;Total;Rioja (La);Ex fumador;28,37
Ambos sexos;Total;Rioja (La);Nunca ha fumado;48,97
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Fumador diario;20,09
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;0,84
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Ex fumador;12,51
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;66,56
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Fumador diario;15,18
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;1,11
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Ex fumador;6,67
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;77,04
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Fumador diario;23,31
Hombres;Total;;Fumador ocasional;2,62
Hombres;Total;;Ex fumador;27,63
Hombres;Total;;Nunca ha fumado;46,44
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Fumador diario;23,89
Hombres;Total;Andalucía;Fumador ocasional;2,71
Hombres;Total;Andalucía;Ex fumador;22,40
Hombres;Total;Andalucía;Nunca ha fumado;51,01
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Fumador diario;24,48
Hombres;Total;Aragón;Fumador ocasional;2,48
Hombres;Total;Aragón;Ex fumador;24,34
Hombres;Total;Aragón;Nunca ha fumado;48,70
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Fumador diario;22,35
