Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Si o no;Total
Ambos sexos;Total;;Total;100,00
Ambos sexos;Total;;Sí;51,25
Ambos sexos;Total;;No;48,75
Ambos sexos;Total;Andalucía;Total;100,00
Ambos sexos;Total;Andalucía;Sí;53,84
Ambos sexos;Total;Andalucía;No;46,16
Ambos sexos;Total;Aragón;Total;100,00
Ambos sexos;Total;Aragón;Sí;49,58
Ambos sexos;Total;Aragón;No;50,42
Ambos sexos;Total;Asturias (Principado de);Total;100,00
Ambos sexos;Total;Asturias (Principado de);Sí;48,09
Ambos sexos;Total;Asturias (Principado de);No;51,91
Ambos sexos;Total;Balears (Illes);Total;100,00
Ambos sexos;Total;Balears (Illes);Sí;42,42
Ambos sexos;Total;Balears (Illes);No;57,58
Ambos sexos;Total;Canarias;Total;100,00
Ambos sexos;Total;Canarias;Sí;54,41
Ambos sexos;Total;Canarias;No;45,59
Ambos sexos;Total;Cantabria;Total;100,00
Ambos sexos;Total;Cantabria;Sí;48,60
Ambos sexos;Total;Cantabria;No;51,40
Ambos sexos;Total;Castilla y León;Total;100,00
Ambos sexos;Total;Castilla y León;Sí;52,32
Ambos sexos;Total;Castilla y León;No;47,68
Ambos sexos;Total;Castilla-La Mancha;Total;100,00
Ambos sexos;Total;Castilla-La Mancha;Sí;50,12
Ambos sexos;Total;Castilla-La Mancha;No;49,88
Ambos sexos;Total;Cataluña;Total;100,00
Ambos sexos;Total;Cataluña;Sí;46,31
Ambos sexos;Total;Cataluña;No;53,69
Ambos sexos;Total;Comunitat Valenciana;Total;100,00
Ambos sexos;Total;Comunitat Valenciana;Sí;49,55
Ambos sexos;Total;Comunitat Valenciana;No;50,45
Ambos sexos;Total;Extremadura;Total;100,00
Ambos sexos;Total;Extremadura;Sí;61,30
Ambos sexos;Total;Extremadura;No;38,70
Ambos sexos;Total;Galicia;Total;100,00
Ambos sexos;Total;Galicia;Sí;63,70
Ambos sexos;Total;Galicia;No;36,30
Ambos sexos;Total;Madrid (Comunidad de);Total;100,00
Ambos sexos;Total;Madrid (Comunidad de);Sí;46,99
Ambos sexos;Total;Madrid (Comunidad de);No;53,01
Ambos sexos;Total;Murcia (Región de);Total;100,00
Ambos sexos;Total;Murcia (Región de);Sí;57,78
Ambos sexos;Total;Murcia (Región de);No;42,22
Ambos sexos;Total;Navarra (Comunidad Foral de);Total;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Sí;46,92
Ambos sexos;Total;Navarra (Comunidad Foral de);No;53,08
Ambos sexos;Total;País Vasco;Total;100,00
Ambos sexos;Total;País Vasco;Sí;56,18
Ambos sexos;Total;País Vasco;No;43,82
Ambos sexos;Total;Rioja (La);Total;100,00
Ambos sexos;Total;Rioja (La);Sí;40,15
Ambos sexos;Total;Rioja (La);No;59,85
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Sí;46,85
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);No;53,15
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Sí;48,90
Ambos sexos;Total;Melilla (Ciudad Autónoma de);No;51,10
Hombres;Total;;Total;100,00
Hombres;Total;;Sí;46,47
Hombres;Total;;No;53,53
Hombres;Total;Andalucía;Total;100,00
Hombres;Total;Andalucía;Sí;50,26
Hombres;Total;Andalucía;No;49,74
Hombres;Total;Aragón;Total;100,00
Hombres;Total;Aragón;Sí;45,05
Hombres;Total;Aragón;No;54,95
Hombres;Total;Asturias (Principado de);Total;100,00
Hombres;Total;Asturias (Principado de);Sí;43,61
Hombres;Total;Asturias (Principado de);No;56,39
Hombres;Total;Balears (Illes);Total;100,00
Hombres;Total;Balears (Illes);Sí;39,28
Hombres;Total;Balears (Illes);No;60,72
Hombres;Total;Canarias;Total;100,00
Hombres;Total;Canarias;Sí;50,29
Hombres;Total;Canarias;No;49,71
Hombres;Total;Cantabria;Total;100,00
Hombres;Total;Cantabria;Sí;46,40
Hombres;Total;Cantabria;No;53,60
Hombres;Total;Castilla y León;Total;100,00
Hombres;Total;Castilla y León;Sí;47,33
Hombres;Total;Castilla y León;No;52,67
Hombres;Total;Castilla-La Mancha;Total;100,00
Hombres;Total;Castilla-La Mancha;Sí;43,45
Hombres;Total;Castilla-La Mancha;No;56,55
Hombres;Total;Cataluña;Total;100,00
Hombres;Total;Cataluña;Sí;40,55
Hombres;Total;Cataluña;No;59,45
Hombres;Total;Comunitat Valenciana;Total;100,00
Hombres;Total;Comunitat Valenciana;Sí;45,64
Hombres;Total;Comunitat Valenciana;No;54,36
Hombres;Total;Extremadura;Total;100,00
Hombres;Total;Extremadura;Sí;59,12
Hombres;Total;Extremadura;No;40,88
Hombres;Total;Galicia;Total;100,00
Hombres;Total;Galicia;Sí;60,72
Hombres;Total;Galicia;No;39,28
Hombres;Total;Madrid (Comunidad de);Total;100,00
Hombres;Total;Madrid (Comunidad de);Sí;39,86
Hombres;Total;Madrid (Comunidad de);No;60,14
Hombres;Total;Murcia (Región de);Total;100,00
